time	V(vout)
5.674069545175914e-003	3.301077e-001
5.693600795175914e-003	3.541788e-001
5.713132045175914e-003	3.728775e-001
5.732663295175913e-003	3.859227e-001
5.752194545175913e-003	3.931181e-001
5.771725795175912e-003	3.943555e-001
5.791257045175912e-003	3.896164e-001
5.810788295175911e-003	3.789719e-001
5.830319545175911e-003	3.625822e-001
5.849850795175911e-003	3.406938e-001
5.869382045175910e-003	3.136359e-001
5.888913295175910e-003	2.818156e-001
5.908444545175909e-003	2.457113e-001
5.927975795175909e-003	2.058662e-001
5.947507045175909e-003	1.628795e-001
5.967038295175908e-003	1.173979e-001
5.986569545175908e-003	7.010532e-002
6.006100795175907e-003	2.171321e-002
6.025632045175907e-003	-2.705062e-002
6.045163295175906e-003	-7.545270e-002
6.064694545175906e-003	-1.227650e-001
6.084225795175906e-003	-1.682760e-001
6.103757045175905e-003	-2.113010e-001
6.123288295175905e-003	-2.511930e-001
6.142819545175904e-003	-2.873520e-001
6.162350795175904e-003	-3.192340e-001
6.181882045175904e-003	-3.463596e-001
6.201413295175903e-003	-3.683208e-001
6.220944545175903e-003	-3.847871e-001
6.240475795175902e-003	-3.955111e-001
6.260007045175902e-003	-4.003313e-001
6.279538295175901e-003	-3.991753e-001
6.299069545175901e-003	-3.920604e-001
6.318600795175901e-003	-3.790937e-001
6.338132045175900e-003	-3.604702e-001
6.357663295175900e-003	-3.364701e-001
6.377194545175899e-003	-3.074542e-001
6.396725795175899e-003	-2.738591e-001
6.416257045175899e-003	-2.361899e-001
6.435788295175898e-003	-1.950134e-001
6.455319545175898e-003	-1.509489e-001
6.474850795175897e-003	-1.046590e-001
6.494382045175897e-003	-5.684010e-002
6.513913295175896e-003	-8.211400e-003
6.533444545175896e-003	4.049569e-002
6.552975795175896e-003	8.854856e-002
6.572507045175895e-003	1.352244e-001
6.592038295175895e-003	1.798213e-001
6.611569545175894e-003	2.216684e-001
6.631100795175894e-003	2.601362e-001
6.650632045175894e-003	2.946462e-001
6.670163295175893e-003	3.246794e-001
6.689694545175893e-003	3.497839e-001
6.709225795175892e-003	3.695822e-001
6.728757045175892e-003	3.837766e-001
6.748288295175891e-003	3.921535e-001
6.767819545175891e-003	3.945869e-001
6.787350795175891e-003	3.910402e-001
6.806882045175890e-003	3.815668e-001
6.826413295175890e-003	3.663091e-001
6.845944545175889e-003	3.454967e-001
6.865475795175889e-003	3.194426e-001
6.885007045175889e-003	2.885386e-001
6.904538295175888e-003	2.532496e-001
6.924069545175888e-003	2.141064e-001
6.943600795175887e-003	1.716977e-001
6.963132045175887e-003	1.266614e-001
6.982663295175886e-003	7.967486e-002
7.002194545175886e-003	3.144481e-002
7.021725795175886e-003	-1.730333e-002
7.041257045175885e-003	-6.583634e-002
7.060788295175885e-003	-1.134242e-001
7.080319545175884e-003	-1.593512e-001
7.099850795175884e-003	-2.029266e-001
7.119382045175884e-003	-2.434948e-001
7.138913295175883e-003	-2.804458e-001
7.158444545175883e-003	-3.132238e-001
7.177975795175882e-003	-3.413357e-001
7.197507045175882e-003	-3.643587e-001
7.217038295175881e-003	-3.819466e-001
7.236569545175881e-003	-3.938347e-001
7.256100795175881e-003	-3.998443e-001
7.275632045175880e-003	-3.998850e-001
7.295163295175880e-003	-3.939562e-001
7.314694545175879e-003	-3.821471e-001
7.334225795175879e-003	-3.646352e-001
7.353757045175879e-003	-3.416840e-001
7.373288295175878e-003	-3.136387e-001
7.392819545175878e-003	-2.809211e-001
7.412350795175877e-003	-2.440233e-001
7.431882045175877e-003	-2.035003e-001
7.451413295175876e-003	-1.599616e-001
7.470944545175876e-003	-1.140620e-001
7.490475795175876e-003	-6.649192e-002
7.510007045175875e-003	-1.796690e-002
7.529538295175875e-003	3.078323e-002
7.549069545175874e-003	7.902524e-002
7.568600795175874e-003	1.260335e-001
7.588132045175874e-003	1.711010e-001
7.607663295175873e-003	2.135498e-001
7.627194545175873e-003	2.527415e-001
7.646725795175872e-003	2.880867e-001
7.666257045175872e-003	3.190536e-001
7.685788295175871e-003	3.451765e-001
7.705319545175871e-003	3.660626e-001
7.724850795175871e-003	3.813975e-001
7.744382045175870e-003	3.909508e-001
7.763913295175870e-003	3.945788e-001
7.783444545175869e-003	3.922267e-001
7.802975795175869e-003	3.839301e-001
7.822507045175869e-003	3.698136e-001
7.842038295175869e-003	3.500897e-001
7.861569545175869e-003	3.250551e-001
7.881100795175868e-003	2.950861e-001
7.900632045175868e-003	2.606336e-001
7.920163295175867e-003	2.222159e-001
7.939694545175867e-003	1.804107e-001
7.959225795175867e-003	1.358469e-001
7.978757045175866e-003	8.919461e-002
7.998288295175866e-003	4.115566e-002
8.017819545175865e-003	-7.547427e-003
8.037350795175865e-003	-5.618212e-002
8.056882045175864e-003	-1.040169e-001
8.076413295175864e-003	-1.503323e-001
8.095944545175864e-003	-1.944317e-001
8.115475795175863e-003	-2.356518e-001
8.135007045175863e-003	-2.733725e-001
8.154538295175862e-003	-3.070267e-001
8.174069545175862e-003	-3.361079e-001
8.193600795175862e-003	-3.601790e-001
8.213132045175861e-003	-3.788777e-001
8.232663295175861e-003	-3.919229e-001
8.252194545175860e-003	-3.991183e-001
8.271725795175860e-003	-4.003557e-001
8.291257045175859e-003	-3.956166e-001
8.310788295175859e-003	-3.849721e-001
8.330319545175859e-003	-3.685824e-001
8.349850795175858e-003	-3.466940e-001
8.369382045175858e-003	-3.196361e-001
8.388913295175857e-003	-2.878157e-001
8.408444545175857e-003	-2.517115e-001
8.427975795175857e-003	-2.118663e-001
8.447507045175856e-003	-1.688797e-001
8.467038295175856e-003	-1.233981e-001
8.486569545175855e-003	-7.610551e-002
8.506100795175855e-003	-2.771339e-002
8.525632045175854e-003	2.105043e-002
8.545163295175854e-003	6.945252e-002
8.564694545175854e-003	1.167648e-001
8.584225795175853e-003	1.622758e-001
8.603757045175853e-003	2.053008e-001
8.623288295175852e-003	2.451929e-001
8.642819545175852e-003	2.813518e-001
8.662350795175852e-003	3.132339e-001
8.681882045175851e-003	3.403594e-001
8.701413295175851e-003	3.623206e-001
8.720944545175850e-003	3.787870e-001
8.740475795175850e-003	3.895109e-001
8.760007045175849e-003	3.943311e-001
8.779538295175849e-003	3.931751e-001
8.799069545175849e-003	3.860602e-001
8.818600795175848e-003	3.730935e-001
8.838132045175848e-003	3.544700e-001
