time	V(vout1)
1.044303107201548e-003	3.876525e-003
1.054543107201487e-003	4.441943e-003
1.064783107201426e-003	4.985854e-003
1.075023107201365e-003	5.506041e-003
1.085263107201305e-003	6.000387e-003
1.095503107201244e-003	6.466884e-003
1.105743107201183e-003	6.903635e-003
1.115983107201122e-003	7.308869e-003
1.126223107201061e-003	7.680942e-003
1.136463107201001e-003	8.018351e-003
1.146703107200940e-003	8.319733e-003
1.156943107200879e-003	8.583874e-003
1.167183107200818e-003	8.809716e-003
1.177423107200757e-003	8.996358e-003
1.187663107200697e-003	9.143059e-003
1.197903107200636e-003	9.249248e-003
1.208143107200575e-003	9.314515e-003
1.218383107200514e-003	9.338625e-003
1.228623107200453e-003	9.321508e-003
1.238863107200392e-003	9.263269e-003
1.249103107200332e-003	9.164180e-003
1.259343107200271e-003	9.024682e-003
1.269583107200210e-003	8.845383e-003
1.279823107200149e-003	8.627058e-003
1.290063107200088e-003	8.370640e-003
1.300303107200028e-003	8.077220e-003
1.310543107199967e-003	7.748043e-003
1.320783107199906e-003	7.384501e-003
1.331023107199845e-003	6.988129e-003
1.341263107199784e-003	6.560596e-003
1.351503107199724e-003	6.103700e-003
1.361743107199663e-003	5.619362e-003
1.371983107199602e-003	5.109615e-003
1.382223107199541e-003	4.576596e-003
1.392463107199480e-003	4.022539e-003
1.402703107199419e-003	3.449765e-003
1.412943107199359e-003	2.860673e-003
1.423183107199298e-003	2.257728e-003
1.433423107199237e-003	1.643453e-003
1.443663107199176e-003	1.020416e-003
1.453903107199115e-003	3.912227e-004
1.464143107199055e-003	-2.414963e-004
1.474383107198994e-003	-8.750961e-004
1.484623107198933e-003	-1.506929e-003
1.494863107198872e-003	-2.134353e-003
1.505103107198811e-003	-2.754748e-003
1.515343107198751e-003	-3.365519e-003
1.525583107198690e-003	-3.964114e-003
1.535823107198629e-003	-4.548031e-003
1.546063107198568e-003	-5.114828e-003
1.556303107198507e-003	-5.662135e-003
1.566543107198446e-003	-6.187663e-003
1.576783107198386e-003	-6.689213e-003
1.587023107198325e-003	-7.164685e-003
1.597263107198264e-003	-7.612087e-003
1.607503107198203e-003	-8.029544e-003
1.617743107198142e-003	-8.415306e-003
1.627983107198082e-003	-8.767753e-003
1.638223107198021e-003	-9.085402e-003
1.648463107197960e-003	-9.366917e-003
1.658703107197899e-003	-9.611111e-003
1.668943107197838e-003	-9.816950e-003
1.679183107197778e-003	-9.983560e-003
1.689423107197717e-003	-1.011023e-002
1.699663107197656e-003	-1.019641e-002
1.709903107197595e-003	-1.024173e-002
1.720143107197534e-003	-1.024598e-002
1.730383107197473e-003	-1.020911e-002
1.740623107197413e-003	-1.013126e-002
1.750863107197352e-003	-1.001273e-002
1.761103107197291e-003	-9.853988e-003
