v3	Ic(Q2)
2.549999999999990e+000	5.499698e-003
2.559999999999989e+000	5.500227e-003
2.569999999999989e+000	5.500756e-003
2.579999999999989e+000	5.501285e-003
2.589999999999989e+000	5.501814e-003
2.599999999999989e+000	5.502343e-003
2.609999999999988e+000	5.502872e-003
2.619999999999988e+000	5.503401e-003
2.629999999999988e+000	5.503930e-003
2.639999999999988e+000	5.504459e-003
2.649999999999988e+000	5.504988e-003
2.659999999999987e+000	5.505517e-003
2.669999999999987e+000	5.506046e-003
2.679999999999987e+000	5.506575e-003
2.689999999999987e+000	5.507104e-003
2.699999999999986e+000	5.507633e-003
2.709999999999986e+000	5.508162e-003
2.719999999999986e+000	5.508691e-003
2.729999999999986e+000	5.509220e-003
2.739999999999986e+000	5.509749e-003
2.749999999999985e+000	5.510278e-003
2.759999999999985e+000	5.510807e-003
2.769999999999985e+000	5.511336e-003
2.779999999999985e+000	5.511865e-003
2.789999999999985e+000	5.512394e-003
2.799999999999984e+000	5.512923e-003
2.809999999999984e+000	5.513452e-003
2.819999999999984e+000	5.513981e-003
2.829999999999984e+000	5.514510e-003
2.839999999999983e+000	5.515039e-003
2.849999999999983e+000	5.515567e-003
2.859999999999983e+000	5.516096e-003
2.869999999999983e+000	5.516625e-003
2.879999999999983e+000	5.517154e-003
2.889999999999982e+000	5.517683e-003
2.899999999999982e+000	5.518212e-003
2.909999999999982e+000	5.518741e-003
2.919999999999982e+000	5.519270e-003
2.929999999999982e+000	5.519799e-003
2.939999999999981e+000	5.520328e-003
2.949999999999981e+000	5.520857e-003
2.959999999999981e+000	5.521386e-003
2.969999999999981e+000	5.521915e-003
2.979999999999980e+000	5.522444e-003
2.989999999999980e+000	5.522973e-003
2.999999999999980e+000	5.523502e-003
3.009999999999980e+000	5.524031e-003
3.019999999999980e+000	5.524560e-003
3.029999999999979e+000	5.525089e-003
3.039999999999979e+000	5.525618e-003
3.049999999999979e+000	5.526147e-003
3.059999999999979e+000	5.526675e-003
3.069999999999979e+000	5.527204e-003
3.079999999999978e+000	5.527733e-003
3.089999999999978e+000	5.528262e-003
3.099999999999978e+000	5.528791e-003
3.109999999999978e+000	5.529320e-003
3.119999999999978e+000	5.529849e-003
3.129999999999977e+000	5.530378e-003
3.139999999999977e+000	5.530907e-003
3.149999999999977e+000	5.531436e-003
3.159999999999977e+000	5.531965e-003
