v1	Id(M1)
1.650000000000001e+000	3.724919e-003
1.660000000000001e+000	3.728116e-003
1.670000000000001e+000	3.731314e-003
1.680000000000001e+000	3.734511e-003
1.690000000000001e+000	3.737708e-003
1.700000000000001e+000	3.740906e-003
1.710000000000001e+000	3.744103e-003
1.720000000000001e+000	3.747300e-003
1.730000000000001e+000	3.750498e-003
1.740000000000001e+000	3.753695e-003
1.750000000000001e+000	3.756893e-003
1.760000000000001e+000	3.760090e-003
1.770000000000001e+000	3.763287e-003
1.780000000000001e+000	3.766485e-003
1.790000000000001e+000	3.769682e-003
1.800000000000001e+000	3.772879e-003
1.810000000000001e+000	3.776077e-003
1.820000000000001e+000	3.779274e-003
1.830000000000001e+000	3.782471e-003
1.840000000000001e+000	3.785669e-003
1.850000000000001e+000	3.788866e-003
1.860000000000001e+000	3.792064e-003
1.870000000000001e+000	3.795261e-003
1.880000000000001e+000	3.798458e-003
1.890000000000002e+000	3.801655e-003
1.900000000000002e+000	3.804853e-003
1.910000000000002e+000	3.808050e-003
1.920000000000002e+000	3.811248e-003
1.930000000000002e+000	3.814445e-003
1.940000000000002e+000	3.817642e-003
1.950000000000002e+000	3.820840e-003
1.960000000000002e+000	3.824037e-003
1.970000000000002e+000	3.827234e-003
1.980000000000002e+000	3.830432e-003
1.990000000000002e+000	3.833629e-003
2.000000000000001e+000	3.836826e-003
2.010000000000001e+000	3.840024e-003
2.020000000000001e+000	3.843221e-003
2.030000000000001e+000	3.846419e-003
2.040000000000001e+000	3.849616e-003
2.050000000000000e+000	3.852813e-003
2.060000000000000e+000	3.856011e-003
2.070000000000000e+000	3.859208e-003
2.080000000000000e+000	3.862405e-003
2.089999999999999e+000	3.865603e-003
2.099999999999999e+000	3.868800e-003
2.109999999999999e+000	3.871997e-003
2.119999999999999e+000	3.875195e-003
2.129999999999999e+000	3.878392e-003
2.139999999999998e+000	3.881590e-003
2.149999999999998e+000	3.884787e-003
2.159999999999998e+000	3.887984e-003
2.169999999999998e+000	3.891181e-003
2.179999999999998e+000	3.894379e-003
2.189999999999997e+000	3.897576e-003
2.199999999999997e+000	3.900774e-003
2.209999999999997e+000	3.903971e-003
2.219999999999997e+000	3.907168e-003
2.229999999999996e+000	3.910366e-003
2.239999999999996e+000	3.913563e-003
2.249999999999996e+000	3.916760e-003
2.259999999999996e+000	3.919958e-003
2.269999999999996e+000	3.923155e-003
2.279999999999995e+000	3.926353e-003
2.289999999999995e+000	3.929550e-003
2.299999999999995e+000	3.932747e-003
2.309999999999995e+000	3.935944e-003
2.319999999999995e+000	3.939142e-003
2.329999999999994e+000	3.942339e-003
2.339999999999994e+000	3.945536e-003
2.349999999999994e+000	3.948734e-003
2.359999999999994e+000	3.951931e-003
2.369999999999993e+000	3.955129e-003
2.379999999999993e+000	3.958326e-003
2.389999999999993e+000	3.961524e-003
2.399999999999993e+000	3.964721e-003
2.409999999999993e+000	3.967918e-003
2.419999999999992e+000	3.971115e-003
2.429999999999992e+000	3.974313e-003
2.439999999999992e+000	3.977510e-003
2.449999999999992e+000	3.980707e-003
2.459999999999992e+000	3.983905e-003
2.469999999999991e+000	3.987102e-003
2.479999999999991e+000	3.990300e-003
2.489999999999991e+000	3.993497e-003
2.499999999999991e+000	3.996694e-003
2.509999999999991e+000	3.999892e-003
2.519999999999990e+000	4.003089e-003
2.529999999999990e+000	4.006286e-003
2.539999999999990e+000	4.009484e-003
2.549999999999990e+000	4.012681e-003
2.559999999999989e+000	4.015878e-003
2.569999999999989e+000	4.019076e-003
2.579999999999989e+000	4.022273e-003
2.589999999999989e+000	4.025470e-003
2.599999999999989e+000	4.028668e-003
2.609999999999988e+000	4.031865e-003
2.619999999999988e+000	4.035063e-003
2.629999999999988e+000	4.038260e-003
2.639999999999988e+000	4.041457e-003
2.649999999999988e+000	4.044655e-003
2.659999999999987e+000	4.047852e-003
2.669999999999987e+000	4.051049e-003
2.679999999999987e+000	4.054246e-003
2.689999999999987e+000	4.057444e-003
2.699999999999986e+000	4.060641e-003
2.709999999999986e+000	4.063839e-003
2.719999999999986e+000	4.067036e-003
2.729999999999986e+000	4.070234e-003
2.739999999999986e+000	4.073431e-003
2.749999999999985e+000	4.076628e-003
2.759999999999985e+000	4.079825e-003
2.769999999999985e+000	4.083023e-003
2.779999999999985e+000	4.086220e-003
2.789999999999985e+000	4.089417e-003
2.799999999999984e+000	4.092615e-003
2.809999999999984e+000	4.095812e-003
2.819999999999984e+000	4.099010e-003
2.829999999999984e+000	4.102207e-003
2.839999999999983e+000	4.105404e-003
2.849999999999983e+000	4.108602e-003
2.859999999999983e+000	4.111799e-003
2.869999999999983e+000	4.114996e-003
2.879999999999983e+000	4.118194e-003
2.889999999999982e+000	4.121391e-003
2.899999999999982e+000	4.124588e-003
2.909999999999982e+000	4.127786e-003
2.919999999999982e+000	4.130983e-003
2.929999999999982e+000	4.134180e-003
2.939999999999981e+000	4.137378e-003
2.949999999999981e+000	4.140575e-003
2.959999999999981e+000	4.143773e-003
2.969999999999981e+000	4.146970e-003
2.979999999999980e+000	4.150167e-003
2.989999999999980e+000	4.153365e-003
3.000000000000000e+000	4.156562e-003
